AABDLNSSST;
AABDLOOSSW;
AABDLORRTY;
AABDNNORRW;1090
AABDORRSST;1092
AABDORRSTW;1092
AABEEELLPR;701
AABEEELLRS;
AABEEELLRV;
AABEEELPRT;
AABEEELRRT;703,1100
AABEEEMNOT;
AABEEFILRR;
AABEEFLLLT;
AABEEFLNTT;
AABEEFNSST;
AABEEGGMNR;
AABEEGHLRT;
AABEEGILNR;1103
AABEEGLLRS;1105
AABEEGLLST;
AABEEGLMSS;1107
AABEEGLOVY;
AABEEGLRRS;
AABEEGLRTT;
AABEEGLSSZ;
AABEEGMSSS;1107
AABEEGNORT;1111
AABEEGRSUV;
AABEEHKRRT;1117,1118
AABEEHLLNU;
AABEEHLQTU;1119
AABEEHLSTW;
AABEEHRRSS;
AABEEHRSST;717,1115
AABEEHRSTT;
AABEEILLRS;
AABEEILLRZ;
AABEEILMNX;
AABEEILNRS;723,1135
AABEEILNRT;1103,1130,1134,1136
AABEEILPRR;1139
AABEEIMOSS;
AABEEINRSS;
AABEEJKRRW;1143
AABEEKLMRR;1144
AABEEKLMRT;
AABEEKLPPS;
AABEEKLRRW;1146
