AAABC;BIJOT
CIJUY;ADORT,AIRST,ALORT,BEFST
CIKKL;
CIKKS;BORRW
CIKKY;ABEST,AGJNS
CIKLN;
CIKLS;ABIIW,ABLQU,ABLRW,AGHJT
CIKMS;AAEGP,AANNY,AHNRS
CIKMY;AAGOR,AALLR
CIKNS;
CIKOS;AEILM,DOPRW,EILRU
CIKOY;AAGMR,AERTU,APRTY
CIKPR;AGILL,AGNOR,GLNOO
CIKPS;CCHNO,CEEEN,EEEEN,HHITY
CIKPY;EHJOS,HHIST
CIKQU;HNORT
CIKRS;
CIKRT;ACKRT,ALMTU,HNOQU
CIKRW;AHLOO
CIKSS;
CIKST;
CIKSW;ABCHT,ABIIL
CIKSY;AAMNN,AGJKN,BDDIR
CIKTY;
CIKWY;
CILLS;EENPR,FGIMN,GOSYY,IOTTY,OOTVY
CILMS;FGILN,FIMOR,HIORT,IIPTY,LOUUV
CILNO;FIINT
CILNT;BOOOR,CGIRY,DIIOY,IIIOV,IIIVY,JNOOY,MOOOO,OOOPR
CILOR;CGIMO,DMOOX,DMORW,IILMV,MNUUV
CILOS;
CILOT;CCMOY,CPSYY,FIINN,IIINV,JNNOY,MNOOO
CILOU;ACIMR,ADGIO,ADIRX,AEGHO,CDEKZ,DGHIM
CILOW;ADERR,AHKOR,AHSTT,DMORR,EENRS,ELRSS
CILPS;COTYY,GHNOT,GLNOO,HIIPP,IMOOR,MOOOS
CILPT;COSYY,GHNOS,HLOSY,IIRTY
CILPU;
CILRS;AAACL,ACKPW,BBGIN,BIKKN,GGGIN,GIKNP,GIKNT,GINPP
CILRU;CMRUU,IIMNT,MNOUV
CILRY;BGIOR,CEEOV,CGINT,FMOOT,GGINN,GIINZ
CILST;
CILSU;
CILTU;
CILTY;AEELM,AOSUU,BEIIM,CCEOU,CCMOO,CELMU,CEMOY,CGINR,CIMOP,COOPR,DEENN,EEEJV,EEELV,EGINN,EGINX,EGOOS,ENNNO,GIINN,GMOOS,GOOOX,GOOST,IIPRT,IOPRV,JNNOO,LOOSV
CILXY;AAELN,ABCOR,AEILT,ANRUU,DHORY,EFMOP,EGINT,EGLOO,EILPT,EMOPT,GOOOT
CIMNO;BHOOP,HHOOP,LOOOT
CIMNU;
CIMNY;ACCEP,ACNOV,AENRU,AOTTU,BCENU,BIOST,CEKOS,DEOOS,EERTT,ERSST,ESSTU,OOORX
CIMOR;ACCLY,ACGIT,ACLLY,AIILT,ALMOR,CCCIO,CCITY,CGILO,CIILT,IILLV
CIMOS;EEEPU,LLUUV
CIMOX;AALPS,AANNY,APRSY,DEERR,DLOOR,EFLPY,EGLNP,ELNOP,NOORY
CIMPR;ABMOU,AFIIN,FLOOU,IINPU
CIMRS;
CIMSU;FILOO,GHMMO,GLOOY,ILLOO
CIMYZ;
CINNO;BIOOV,CCOOT,CHILO
CINOR;
CINOS;
CINOT;IIILV,LMOOO
CINOV;LMRUU
CINOY;ABDIM,AMTTU,BILPS,CDEEL,CEKMS,CILLP,EIMSZ,ELMOS,ELSSZ,HLLSW,ILSSZ,ISSST,LMOPY,MOORX,STTUU
CINOZ;EMNNY
CINQS;
CINRU;
CINSU;
CINSZ;AEELM,AEGIL,AELUV,CEILY,EEIKL,EEILM,EERTY,GHITV,GIIIN
CINTT;EEEWY,EEIMN,HIIOR,HOOOP,HOOOR,IINNO,INOOR,NOOOR
CINTU;CCEEY,EEHMT,EGNPX,GIOOV
CINYZ;AAGLT,EERST,ELOSS,GIILR,ILOSS
CIOPS;AACLL
CIOPT;
CIOQU;AABHP,ACEVY,AEETV,DEGNT,DLLUY,EFILN,EGNNR,EGNRT,EGNTT,ENRRT,GLLNO,HKNRT,HLNOR,LLMOU
CIORR;AAMRY,AGHHP,AGHMP,AGHOP,AGHPU,AHMYZ,AMPTY,BGILY,CPPTY,CSSSS,DLMOW,FFGII,FIMST,FIOPT,FLMTU,GHNNS,GIIST,GNNOW,HIMPT,HIMST,IMMPS,IMSTT,PPSSY
CIORS;
CIORT;CCIMY
CIORU;ACNOP,ADDFH,ADILX,ADKKN,ADLPT,AGHPR,AHLNY,AJLTY,ALLNU,ALLRT,ALRTV,ALTTV,APRTT
CIOST;
CIOTX;ADIOR,ADJRU,AGINU,GLOOY,HOPTY,INOPR
CIPRS;
CIPRY;
CIPSS;FHINT,IILMT
CIPSY;ABGGK,ABLTU,ALMST,ALOSU
CIPTY;CILMO,CLLOO
CIRST;
CIRSU;
CISST;BBIIL,CIIMR,IILMP,IIMRT,IIMTW
CISSY;ADHOR,ALOPU,BINOT,CCILM,DORRU,GLLOY,HHIOT,ILNOZ,LLOUU,LOOPR,NOORT,OPPRR
CISTU;
CIVVY;AELOT
CJKOO;
CJKOS;EEGLT
CJKOY;
CJNOU;AAILT,AGORT
CJOOS;ADRTU,ALRTU
CJOSU;ADIRT,ADORT,ALORT,BEPRT,EKOTY
CKKNO;ADIRU,BGIIX,GIITU,IINPT
CKLNO;ABHRT
CKLNU;
CKLOS;
CKLPU;
CKLSU;
CKLUY;ELLSS
CKMOS;NORTU
CKMSU;BDRTU,CKMUY,DPRTU,NOORT
CKMUY;GIIMN
CKNOR;
CKNOS;ABCHT,ABHRT,AIOPR,CCHIP,CEFII,HIINV,ORRWW
CKNOY;
CKNRU;BBEER,BEIRR,EEHPY
CKNSU;
CKOOR;
CKOOS;ABBLT,ADMNN,DGILL,DKNNW
CKOOY;ABDSW,ABLLW,AGILR,APRST
CKOPS;AAPRT,AATTT,ADENU,BGNRU,CCHIN,DIORW,FHIRT
CKOPY;EHIJS
CKORS;
CKORT;AILYY,AIPYY,HINQU
CKORY;CELSU
CKOSS;ABOPR,BBBOY,EJPRU
CKOST;AAPTT,BDLOO
CKOSW;BDLOO,DIOPR,DIRST,DKNNO,EEIPR,NORRW
CKOSY;ABDOW,AFNRW
CKOTY;AEIRU,AILRY,AIPRY
CKOUY;AEIRT,CEILT,CELRS
CKPSU;BGNOR,DMRTU,EEHNY
CKRSU;
CKRTU;AILMT,HINOQ
CKSSU;ADINQ,AGNNY
CKSTU;
CKSUY;BBETU,CKMMU,EEHNP,EELOT,EJOOT,ELLLS
CKUYY;
CLLOS;BDDOO,DDHIY,GHNOT,HHKOY,IITTY,IOQTU,IOTVY
CLLOY;AEPRT,AEPTU,AMMNU,ARRSS,EEMPT,EFFRU,FNRSU,HINSW,IISTT,ISSUU
CLLSU;FNORY
CLLUY;BEEIN,CEIMT,DDEES,EKLSS,FLOOR,FNORS,HIIQS,IOSSU
CLMOP;FIORU,HHIOR,IMUUV
CLMOU;AFILT,AILTV,BCHRT,BDIIR,CFIIR,DGHII,DIOPY,FIOPR,FIRRT,ILORT,OOORT
CLMOY;AADIR,AAGLO,AAILT,AAINT,AARRT,ACCIR,ACIIT,ADHIN,AGILN,AHINT,AILTY,ALMNU,CCHIO,CCIOT,CIINN,GHOOO
CLMPU;FIOOR,IMOUV
CLMSU;
CLMTU;BCHOR,CEILY,FIORR,IIINR,IIMNU,ILOOR,OOOOR
CLNOO;ACCGO,DHMMO
CLNOS;
CLNOW;AEMMO,AFORT,EEFOR,EFORR
CLOOP;AINXY,AINZZ,BEHIZ,EEMNX,EGHIN,EMNNX,FIMRU,GHIIO,GHINY,HHIMR,HINPY,HINXY,HMRYY,IMNYY
CLOOR;AAFMR,ADGII,AIMMR,CGIIM,CIIPT,DFHIP,DIMOX,DIMRW,FHLOT,FHMOR,GIPTT,HHIMP,IIPPT
CLOOS;AIQUU,BDDLO,CDKMU,DIIUY,FLSUU,LMSUU
CLOOT;AABMO,AGITU,AIMOZ,CCIMY,CLORU,FIMRY,IJNNY,ILMRU,IMNOO
CLOOY;CCHIM,CCIMT,COPPS,DIISU,GHMOO
CLOPS;BHNUW,EEHLN,EERRT,ENTYY,RSUUU
CLORU;IMNUV
CLOST;
CLOSU;
CLOSW;BDKOO
CLOSY;ADFNS,ALLOS,GHOPY
CLOTU;AAGOR,MOOOR,OOPRR
CLOTY;ACIIM,ADGYZ,AFFII,AFNNU,AIINX,AMMNO,CCIMO,CHIIP,CIIMP,CJNNU,FIMOR,IIPRV,IJNNO
CLOYY;ABGHR,ADGTZ,ADLPT,AEHPX,AHLLL,AIKRT,AILMP,AILMT,CCILP,CDEEK,CEEKK,CEHMT,CEIMT,CELST,CEMRT,CGILT,CIPST,DHIPR,DHIRT,DHIRX,EGGNO,EGHPT,EGNOS,EHMPT,ENPST,HMOPR,IMNOP
CLPSU;BHNOW
CLRSU;DDDUY
CLRUY;AALSV,ALMSU,CENOP,DDDSU,EEFGN,EINNP
CLSSU;FFGIN
CLSTU;
CLTUY;AAINN,ABIIT,ABIPS,AIOSU,ALNPU,CCINS,CIINS,CJNNO,IIINV
CMMOO;
CMMOS;
CMMOY;AAGHS,ADENR,ADIRU,AIRSS,ALLNU,BIIIR,DEEIX,EETXY,EHTTY,EIRRT,ELPTU,EMOTY,HHOOR,HNOOR
CMOOP;ACHIN,BHHIO,BHIIR,BHINO,DILUY,EGHIR,EPRRW,FILRU,HHILR,HHINO,HINNO,HIORZ,HLRYY,IKNPU
CMOOS;AFLRY,AKLOR,CGINO,LOORT
CMOOY;AAGLL,AHIRT,AILPT,AIRTV,ANRSU,CCHIL,CCILT,CDERT,DILPU,EHHPT,EHPRT,EMMTY,FILRT,GHLOO,HHMOR,HIRTT,HMNOR,INORX,LPRSU
CMOPS;IIMRR,IMPRU
CMOPT;
CMORS;LOOOT,NPTYY
CMORU;AAAFN,AABHY,AANPY,ADGNP,AMOTT,ANNTY,AOPTT,BCHLT,EELOT,EENNT,EENOV,EETTY,ELOTY,ENOTV,KORTT,LOOOT
CMOSU;
CMPRU;AAALN,AAINT,ABIMO,ADGNO,AOOTT,FILOO,IIINP
CMRSU;
CMSSU;
CMSUU;ACKKM,CKKMY
CNNOS;DKKOW,DMRUU,GOTTU
CNOOR;
CNOOS;
CNOOT;ABCNO,BDHLU
CNOOV;ACORT,EEMRU
CNOPY;BIILS,CIILL,DOOSU,GHOSY,IORSU,LOOTT
CNORS;
CNORT;
CNORU;FIILP,ILMUV
CNORW;AFLOT
CNORY;
CNOSU;DHHOW
CNOSY;BIILP,DOOPU,GHOPY,HILLW
CNOTU;GIIKK,GIIKW,GIIOV
CNOTY;AACMR,ABEIL,ACELX,ADEEM,AELLV,AILNP,EEEMZ
CNOUY;ADEGS,ADIMN,AGNPP,AILLV,ALLMM,DOOPS,LMMNO
CNRSU;AABBD
CNRUY;CFGII,GHILS,HHIMT
CNSSY;ADLTY,AGIMT,AGKNU,AILLN
CNSTU;
CNSUU;AAMRS,AGIOR,AGIPT,AIIOT,CGIOR,CGISS,CIOSS,DIILP,DIIOP,FILOT,GIORT,HLMOU,IORST,IOTTY
CNTUU;AAINQ,AGILM,AGIPS,AIIOS,AILMO,AIOPS,AOPRT,FILOS,GINPR,GIOOS,GIORS,IILMM,ILMOS,INOOS,IORSS,IOSTY
COOPS;
COOPT;EEHNR
COORS;
COOST;AABBE
COPPY;AAELS,AGNNU,CLOOS,DIILS
COPRS;
COPRU;ABIMM,ADGMN,AGHIR
COPSS;
COPSU;
COPSW;ACHHI,ADLLO,BHLNU,DIKOR
COPSY;BEORR,BIILN,CCIOR,CGIOR,CKOPP,COSTY,DEELP,EPRRS,GIORZ,IPRRS
COPUY;ABENU,AGNNP
CORRU;FILMT,FNOTT,KMOTT
CORSS;
CORST;LMOOO
CORSU;
CORSW;
CORTU;FILMR
CORWY;AENRS,BBBEE,EIPRT
COSST;
COSSU;AAAHY
COSSW;AAITT,ADKMN,AGHIN,CDOOU,DHKOO
COSTT;GIILO,IILLY
COSTU;EJKOY
COTTU;FNORR,KMORR
CPPUY;AGNNO
CPRTY;AAGHH,ABKNU
CPSSU;
CPSUY;ABILT,AHIIN
CPTUU;GINNR
CRRSU;
CRRUY;AABHL,AABHN,AALLO,ABILL,ACDHH,ACILL,AEELT,AEILT,BBEHN,BDELO,EILOT
CRSSU;CHINN
CRSTU;
CRSUY;DDDLU
CRUVY;AABLO
CSSTU;
CSSTY;AACLM,AADKR,ABLOT,ACINT,ACMOR,ACOPR,ADKOR,ADLNY,ALMOP,ALOPT,BIINO,CEELO,DEEEM,EKKOR,ELLOS,HHIIO,IINOS
CSUZZ;
CTTUY;ABIIL,ACNOR,AILNR,EEMOR
DDDEU;
DDDIY;
DDDOY;
DDDUY;CLRSU
DDEEG;ACOPU
DDEEK;ABHLU
DDEEL;
DDEEN;
DDEER;
DDEES;
DDEEW;BIIOS,IIPSS
DDEEY;CEJLT,CENNP,EHLNU,ELMNT,ELNTX
DDEGO;
DDEHI;EMOTZ,FIIMU,FIMUY,OOOPT
DDEII;ACHIP,ADNQU,AENNR,FFILU,ILQUZ
DDEIK;
DDEIL;
DDEIN;
DDEIO;ENNNU
DDEIR;
DDEIS;
DDEIT;
DDEIV;
DDEKU;ABEHL
DDEKY;ABEOR,BCIIR
DDELO;
DDEMO;ACITT
DDENY;ACGHN,CEENP,EELMT,EELTX
DDEOP;AEGGU,EGGHO
DDEOR;
DDEOS;
DDEOT;
DDEOV;AABGN,CHKSU
DDEOW;
DDEOX;
DDEOZ;AGIMT,ALTUZ,EHIMT,HLRYY,ILOPS,ILOPZ
DDEPU;ACEGO,ACOOS,AEGGO,CEOOS
DDERS;
DDERU;
DDERY;BFOSU,COORU,HLOYZ,NSTUU
DDEST;
DDESU;
DDETY;ACIOR,CEEJL,CEIOP,EELMN,EELNX,EHNRU,LMOOU
DDFUY;AELLR,BEORS,EFILS,EHIIM
DDGIY;EELST,HLNTU,LLNOP
DDGOY;AAILM,AEHLO,ILLNP
DDHUU;EGMNO
DDIIO;AAGLL,AGMNN,BFGNR,BGNTU,HINRU
DDIKO;CEGLR
DDIKY;ILNTW
DDILO;AAGIL,AAGMY,ABLRR,AFMRY,CINRY
DDIMY;EFHIU,GILLN
DDINU;AFILS,AMOSY,HIIOR,IIMUV
DDIOR;ABLLR,CCEET,CILNY,HIINU,NOOPT
DDIOS;
DDIRU;ACFHO,EEGGZ,HIINO
DDIST;ABHNW,AGLNR,AGLNW,AILLN,FOORW,GILNR,GILNW
DDITY;AAMNR,ACENS,AIITV
DDIWY;
DDLOY;AAGIM,AFFIL,AFIMR,ANRWW,GILNP
DDMUY;AEINS,EFHII
DDNOY;AIMSU,ALRWW,CIILR,CINOT,GILLP,HIOPT
DDNUY;ACILN,AIMOS,GHILT
DDOOS;ACIIN,BCLLO,CHHIL,CILPU,DILLP,DLLPY,FIRTW,HIOWW,NORUW
DDOOY;CERRU,CINNT,EGLNR,EHHNO,ELMTU,HINPT
DDOPY;AELMN
DDOSW;ABORR,ACIMR,BIIRW,BILNU,BLOOO,FIORT,HIOOW
DDOSY;ABBOR,ABGRU,ACCEI,BEFRU,EFLRR
DDOTY;AELTU,ELMOU
DDOVY;
DDOWY;ALNRW,EEEHN
DDPUY;
DDRSU;AACMO,ABGOY,ABHNO,ABNOO,AGHNO,AHNNO,CDLUY,CFNOW,NOOOW
DDRUY;AEFLL,BEFOS,EEHNT,ENSTU
DDSSU;ACNOR,AGIIN
DDUWY;
DEEER;
DEEEV;
DEEFF;ABHLU,AITTZ
DEEFL;
DEEFR;
DEEFS;
DEEFT;DIIOX
DEEFU;ABIIT,FORRV,IIPRR
DEEFX;DIIOT,IIOST
DEEFY;CCIIN
DEEGG;
DEEGH;ACLLN,ACNNO,ELNNT,LNOOT
DEEGK;
DEEGL;IIOOZ
DEEGO;BGLOT,DGHOP,GILOZ,HINUY,HLNOT,IILOZ,IILPZ,INXYZ
DEEGR;
DEEGS;AANPP
DEEGW;AELNT,AFLNN
DEEHL;GNOOT
DEEHR;
DEEHS;DNOOS,NOOQU
DEEHT;
DEEHW;AANRV,ADNOO,AKORR,ENRRU
DEEHX;IOPRY
DEEHY;AAABH,ABCLL,ALLOW,EILNT,ELLSS,ELOTT,ILOPT,ILOTT
DEEIK;ACDMV,ARSST,CCLRV,CEFHR,ILPRS,LOPRW,ORSST
DEEIL;ELPTZ,GGOOZ,GIOOZ,GIOPZ,LOPWZ
DEEIN;EHLLZ
DEEIR;
DEEIS;
DEEIX;GNOYZ
DEEJW;ADNRU,IMNOS
DEEKN;SSSSU
DEEKR;LMTTU
DEEKS;FNORS,NSSSU
DEEKU;ABDHL,ADHLN,AEHLL,ALMOR,AMNRR,BCLLN,CNOST,LMRTT,NSSSS
DEEKW;
DEEKY;IIKLN
DEELM;
DEELN;CCNOO
DEELR;
DEELS;
DEELU;AEHKL
DEELV;
DEELW;
DEELY;BOSTT,CCKOY,CDEJT,CHRTW,DERSV,EHOTT,ERRSV
DEEMN;BCCUY
DEEMR;
DEEMS;
DEEMT;
DEEMV;AENPT,AENRU,ENSTT
DEEMW;
DEEMY;CIINT,CINNP
DEENO;ALLWW,FLLUW,GIXYZ
DEENP;CHKUY
DEENR;
DEENS;
DEENT;
DEENU;AHIJM,AHIMZ,AHNPP,CELLX,CHIUZ,HIOPZ,IPPQU
DEENW;COOTT
DEENY;CEIPX,CIIMT
DEEOP;AIJRZ,DGGHO
DEEOR;
DEEOX;ABRRU,ACITT,AFILT,AGNTY,AHHNR,ANPRV,CIITZ,CIMMY,FINRR,GINYZ
DEEPR;
DEEPS;
DEERR;
DEERS;
DEERT;
DEERU;GHHOW
DEERW;
DEERY;
DEESS;
DEEST;
DEESU;IIOPQ
DEESV;
DEESW;
DEESX;
DEESY;CDLLU
DEETU;
DEETW;
DEEUX;ABORR,AIMNN
DEEVX;ANOPR,EIIPT,ENORT
DEEWX;EIRST
DEEWY;
DEEXY;ABLNP,AGNOT,CEINP,CELPT,COOST,DELNT,EILPT,GINOS,GINOZ,GORRT,HOORT
DEFFI;DIILU
DEFFO;
DEFGI;
DEFGO;EINNN
DEFGU;
DEFIK;
DEFIL;
DEFIN;
DEFIR;OPSSS
DEFIS;OPRSS
DEFIT;
DEFIW;DNRSU,EINRV,HIIKS,NRRSU
DEFIX;DEIOT
DEFIY;ACRSS,CCEIN,CCNNO,CLNNO,DHIMU,ILORS
DEFJL;
DEFKY;LMNOU
DEFLS;
DEFLT;AALNR
DEFLU;
DEFMR;ENNTU
DEFMU;AAAQR,CIOSS,EENRR,ENNRT,IMORS
DEFNS;AADHT
DEFNU;
DEFNY;CCEII
DEFOS;AIINP,DDIIU,DIIIL,EENNN,EILLV
DEFOX;AALST,AEILT,DEIIT,DIIRS,EIIST,EINRR,ORTTT
DEFSU;HIIIM
DEFUZ;ILMOR,ILRSU
DEGGI;
DEGGU;
DEGHY;ACDNN,ADILT,ADLOO,AGORU,AIOPR,AIPSS,ALOOP,ALRTU,AMOPR,EINOU,IKLST
DEGIK;ACHHJ,AMMRS,BORRW,HLSTY
DEGIL;EIOOZ,OOOOZ
DEGIM;
DEGIN;
DEGIO;EFNNN,ENXYZ,HIMPP
DEGIR;
DEGIU;CCHHO,EHNOY
DEGIV;
DEGJU;ACNOT
DEGKY;AOORZ,HILST
DEGLO;
DEGLS;
DEGLU;
DEGLY;OORTT
DEGMO;BHITU,HIIPP
DEGMU;BHIOT
DEGNU;
DEGOP;HIIMP
DEGOR;
DEGOS;
DEGOT;ILLOY
DEGOW;
DEGOY;ADHLO,AENTX,AHIPR,AHMPR,AIRRT,CIIRT,EERRV,EHINU,EINRV,EINXZ,ERRTX,INRRV,LNOOT,LORTT,NNOOT,NPRUW
DEGPU;EFIIN
DEGRS;
DEGRU;
DEGRY;CCIIL,CIIOT,LOOTT,NOPUW
DEGSU;
DEGSY;AAHNU,EENSS
DEGUY;ACNOS,BEGRR,EHINO,FIINN,INRST,NOPRW
DEGVY;CEINR,EEORR,EINOR,INORR
DEGWY;NOPRU
DEHHO;AELSV,AENRX,BGIRW,DNOOY,EGNRT,EIMNR,ERSTU,ILNTW,ILPRS,ILPRY,ILRTW,IMORR,LNOOR,MOORT,NOPRY,PRTYY
DEHIK;AEJNR
DEHIO;ACPPT,AILPP,AILPU,CCGHU,EILPV
DEHIR;
DEHIS;
DEHIV;AEILL,AELLO,AELOR,EILOP,ENOOP,ILLOO
DEHKO;
DEHLO;
DEHLP;ACOTT,AGOOY,AMOTY,COORY,NOORY
DEHMO;
DEHNO;ACEGN
DEHNS;
DEHNY;ACDGN,AELRT,AIILZ,CIIRT,EEILT
DEHOO;
DEHOP;AIILU,CEIIL,EIILV
DEHOR;
DEHOS;
DEHOT;
DEHOV;EITTU
DEHOX;
DEHOY;ABLLO,ABSSW,ABSUW,ACHRT,ADGLO,ADRRT,AELLW,AGGRU,ARSTX,CHORR,EELTT,EMRRT,EORTX,IOTWW,MRRTY
DEHPT;EELNO,HORYY
DEHPY;AEIMR,AILRU,CEKNU,CIILT,CILRU
DEHRS;
DEHRT;
DEHSS;
DEIIM;ACELZ,CNNTT,EENPR,EIPTV,EMNPT,INPRY
DEIIN;ADDQU,ADEFN,BEHRZ,CCEEF,CDEFF,EEMPR,EFINP
DEIIT;ABELT,AGHHL,ALLTT,EFHLL,EHLOT,GHLTW
DEIIV;AEHLL,EEGMR,EEPTX,EHLOP,EIMPT,HLLOO
DEIIX;AILTV,ALLMP,ANNOT,COOPT,EEPTV,EGNPT,ENOPT,GNOPR,NOPRY
DEIJO;ADEPR,AEPRZ,AGGGJ,DDIOR
DEIJR;ADEOP,AEOPZ,CEENT,DDIOO
DEIJS;
DEIJV;AACLT,ACITU,ACNTU
DEIKL;
DEIKM;AADNS
DEIKN;
DEIKP;
DEIKR;BMOOT
DEIKS;BGOOU
DEIKT;BMOOR
DEIKY;
DEILM;
DEILN;
DEILO;
DEILP;
DEILR;
DEILS;
DEILT;
DEILV;ILPUZ
DEILW;
DEILY;CCCOP,CCIOP
DEIMM;BEELZ
DEIMN;
DEIMO;AEGGS,AGGMS
DEIMP;DIISY
DEIMR;
DEIMS;
DEIMT;
DEIMX;AALRT,AILLP,AORRT,IORTY
DEINN;
DEINP;
DEINR;
DEINS;
DEINT;
DEINU;EGHOY
DEINV;
DEINW;
DEINX;AAHNR,AEPTU,BEELT,CEEEP,CEEPY,DIOSU,DIOUZ,EGIPT,EGOYZ,GIOPR,IOPRY,OOPRY,OOSTT
DEINZ;EEHLL,EFIIT,EHHPY,EHOPT,EHOPU,EHORT,EOPPT,EOPTT,EOTTU,FORTU,HOPTY
DEIOS;
DEIOV;
DEIOW;AENPZ,AINNT,ANNTZ
DEIOX;EFNRR,EGNYZ,GNNPU
DEIPP;
DEIPR;
DEIPS;DIIMY
DEIPT;EELLZ
DEIPW;AEPRT,AHILT,ANNOW,EKLOR
DEIPZ;BCILU,GINTU,HILSY,HINOY,HNOTY,ILLNO,ILLUV,LOSTY,NOSSY
DEIQU;AACNY,ADDIN
DEIRR;
DEIRS;
DEIRT;
DEIRU;
DEIRV;
DEIRW;
DEISS;
DEIST;
DEISV;
DEISW;
DEISZ;BHIRY,BLMOY,FLRUU,HILPY,IILQU
DEITW;
DEITY;AAGLT,ABGLN,AKKNO,BELNO,CELNN,CISST,EMORU,EPRRU,GIINN,GLLOO,HNOPZ,HOOWW,HOPSY,LLNNO,OOPRS
DEIVW;
DEJKO;ACLLR,ACPTT
DEJKU;
DEJLO;
DEJOW;EIMNS,HMPSU
DEJOY;
DEKKO;ACMPR,CCITT,CIPRR
DEKNO;AAGOR,ALMOW,DLOOW,EELRW,ORRWW
DEKNU;
DEKNY;CEHPU
DEKOP;
DEKOR;
DEKOS;
DEKOT;
DEKOY;
DEKPU;ABNRT,NOORV
DEKRS;
DEKRY;
DEKSS;AACHM,AAEHH,ACHPT,ADDEL,ADMOR,AELPW,AERRT,AOPRW,EFNOR,ELNOV,MOOOW
DEKST;
DEKSU;
DEKSY;AABCW
DEKUY;AILLN,ILNST
DEKYY;AOPRT,CCELO
DELLS;FGGIN
DELLW;
DELLY;ACHNR,BOORV,BORTU,LOPTU,OSSUU
DELMO;
DELMS;
DELMU;
DELNO;
DELNS;KLMUU
DELNU;
DELNY;FIIIT,ILOVV
DELOO;ALRRR,ALRRU
DELOP;
DELOR;
DELOS;
DELOT;
DELOU;
DELOV;CENXY
DELOW;
DELOX;AEHOS,CENVY,GIOOS,HIPSU
DELOY;EEHTT,ILNVV
DELPS;
DELPU;
DELRU;
DELRY;CEHTW,DEESV,EERSV
DELSS;
DELST;
DELSU;
DELSV;
DELSW;
DELSY;CDELU,CEFKP,DEERV,EEHLS,EERRV
DELTU;
DELTV;AAAGN
DELTW;
DELTY;BLORU,CDEEJ,CEEPX,CEHRW,DEEMN,DEENX,EEHOT,GILOO,HOOPZ,LLOPU,ORRTU
DELUX;ORSTY
DELWY;CEHRT
DEMMO;AFIIN,AGPRR,AMNRU
DEMMU;ALNTU,DELNT,ENNOT
DEMNO;
DEMNS;KLLUU
DEMOO;
DEMOP;
DEMOR;
DEMOS;
DEMOT;IIRXY
DEMOU;
DEMOV;CIIRR
DEMOW;
DEMOZ;BILSY,CIINR,CIMNU,CISTU,EENNY,EIIRS,EIPRT,FILRU,GIILN,GIINN
DEMPT;
DEMPU;
DEMRS;
DEMRU;
DEMSU;
DEMSY;AAISS,AALLP,CINOO,DIIIP,IOPPU,KNOOP
DEMTU;
DEMUX;AELNP
DENNO;AABLL
DENOO;BCIIT,IPRXY,KPRUV,KPTTT
DENOR;
DENOS;
DENOT;
DENOV;
DENOW;
DENOY;EGIXZ,GLMOO,GNOOT,ILLVV
DENOZ;EGIXY,EHIPU,EIPPT,EIPTT,EITTU,FIRTU
DENPS;
DENPU;AAALQ,AALLP
DENPW;GOOOS
DENPY;ABERR,CCEER,CEEIX,CEILO,ELMOU,ERUUV,GIILM,HIIOZ,ILMTU
DENRS;
DENRT;
DENRU;
DENRY;
DENSS;
DENST;
DENSU;
DENSV;
DENSW;
DENSY;
DENTU;
DENTY;AABLU,AACJL,ABGIL,ACCIL,ACEMO,ACINN,AEGOX,AEHHP,AIKKO,DEELM,DEELX,DEILN,EEHIL,GIIIN,GIILL,GIILN,GNOOO
DENUU;AACTT,ABCEL,ACDET,ACPTT,BDEGT,CCHLT,CCIOP,CDELX,CEETX,CEHIZ,CEHNQ,CMMOT,COOTT,EIPPQ,GIIPT,GOOTT,HLOZZ,IILTZ,ILPQT
DENUV;CNOOY,DIIOZ,GOORR
DENUW;HHILT
DEOOP;
DEOOR;
DEOOW;AEGRS,CEKPR,CKKRR,MMRSU
DEOOZ;HLPTY
DEOPR;
DEOPS;
DEOPT;
DEOPU;
DEOPX;AJSTU,HILSU
DEOPY;
DEORR;
DEORS;
DEORT;
DEORU;
DEORV;
DEORW;
DEORX;ANSSY,EFINR
DEORZ;
DEOSS;
DEOST;
DEOSU;
DEOSV;
DEOSW;
DEOSX;AAFLT
DEOSZ;AAAPT,AHLOW,BILMY
DEOTT;
DEOTU;
DEOTV;
DEOTW;
DEOTX;AEGNY,CEIIZ,CIIOP
DEOTY;AAFMR,ABLRU,ADHRR,AEGNX,AGIRR,AGORR,AIKKN,AKPRY,BLLRU,DLMOU,EEHLT,EFPRR,EGRRX,EHMRR,EHORX,EMPRR,GILLO,GNNOO,HHPRY,HINSS,HIOWW,HIPSY,HLOPS,HLOPZ,HMRRY,ILPSS,ILPSZ,LLLPU
DEOTZ;CEIIX,CGHII,IILMO
DEOVW;EEENR,EERTT
DEOWW;AENOR,EELLY,IINST,ILNSS,LLOOY,LNOPS,NNORT
DEOWY;ABHSS,ABHSU,HIOTW
DEOXY;AEGNT,CEIMM,CELNV,EGINZ,EGRRT,EHORT,IIMRT,IINPR,INOPR
DEPPU;
DEPRS;
DEPRU;
DEPRY;
DEPSU;
DEPSY;DIIIM
DEPTY;AEHHN,AHISS,AIORS,AKORY,CEELX,CEFLO,HHORY,HIORR,HIOSY,HLOOS,HLOOZ,IOORS
DEPXY;ABELN,CEEIN,CEELT,EEILT,IINOR,INOOR
DERRU;AAQTU
